lng,lat
9.405481,45.090896
9.402961,45.090656
9.422207,45.932620
9.704370,45.160060
9.403579,45.090448
9.403096,45.090597
9.412745,45.100291
9.403247,45.090545
9.405961,45.090770
9.403247,45.090545
9.412378,45.092438
9.403247,45.090545
9.403868,45.091591
9.402217,45.091458
9.402466,45.091459
9.401759,45.091216
9.401759,45.091216
9.402730,45.091387
9.401604,45.091635
9.401367,45.091680
9.401367,45.091680
9.401777,45.091176
9.403215,45.091843
9.401777,45.091176
9.401367,45.091680
9.401604,45.091635
9.401604,45.091635
9.401367,45.091680
9.403259,45.091587
9.402626,45.091453